#,region_id,province,region_1,region_2
1,00247297c394dd443dc97067830c35f4,Slovenia,,
2,004858ef53ef7a3e36d3988fbe280575,Southwest France,Côtes du Frontonnais,
3,00522378bd6683b710fc7ff402136770,Languedoc-Roussillon,Vin de Pays du Val de Cesse,
4,0053ea61f4bd78b7b207fdcd4c0e3ff6,Amindeo,,
5,0065f512ae83ad6d9cb826a309c243cd,Languedoc-Roussillon,Vin de Pays de la Haute Vallée du Gassac,
6,008282f0891f08b429add69b54e56395,Ontario,Niagara Escarpment,
7,009128fd71c31e20e0c4accedb430f8a,Southwest France,Buzet,
8,010f77df449690835550f3e5e4df2fdb,Andalucia,,
9,011c1685cf49369b52620a93376d97be,Paardeberg,,
10,011d78a1986ae251bb509ab9a09a60f9,Piedmont,Barbera di Piemonte,
11,011da78adb9b3db660b877d00ace3b0f,Südsteiermark,,
12,01562f3c36ca8f9dcdcaac8cf6a24207,Mendoza Province,Luján de Cuyo,
13,015d1cdb922b4c6f6e24324acadcb672,California,Ben Lomond Mountain,Central Coast
14,0160a1df6476b57c42708f0df802fab0,Tuscany,Orcia,
15,01756b9f4fc3815d0bf1f8e79758c2ad,Central Italy,Colli Piacentini,
16,01a151debf2bfee8906f43f4342eb10b,Bulgaria,,
17,01ae6daec77473b9274ffaf6f9b11cee,Sicily & Sardinia,Delia Nivolelli,
18,01b3443bb7ad15b7c40a4b378c58a1a1,Other,Patagonia,
19,025776398adef7018c0de2c72829ab00,Burgundy,Mâcon-Prissé,
20,02a6cb021394746ded98e98d4fbafc63,California,Oakville,Napa
21,02ab29fe3b506225ea5978d97441e514,California,McDowell Valley,
22,02dee59fc213e3e964b287b60b375180,Rhône Valley,Lirac,
23,02f27d8b21d4026bac64c6685931bbfc,Piedmont,Barbera del Monferrato,
24,0305ac0b04d2a4fc5dcd4d088f51e78b,Piedmont,Colli Tortonesi,
25,03883c1b84d9a58a65be7d7aea29bc0e,Bordeaux,Côtes de Castillon,
26,03b270993be1a0fced201b50624d3c3a,California,Nevada County,Sierra Foothills
27,03db55191d5a61dcb3bd7b32af658dfc,France Other,Mediterranée,
28,03f697e1b883e953d6dd973cacc98b88,Leyda Valley,,
29,03fc5a7c351d29cbfba48b709b02a4e9,South Australia,Barossa-Adelaide Hills,
30,0405e98da48a10853929cb2cb79c896e,California,Antelope Valley of the California High Desert,South Coast
31,043d5def1e16b27cc960a2835492ba61,Beaujolais,Chénas,
32,04503f2dccf4fd31c49dc88a90b7baaf,Veneto,Bianco di Custoza,
33,046cd7a29f12de9e02d63e21cbe233c8,Korčula,,
34,0472a25fcb84f2c262b52ac6fac166c6,Bordeaux,Moulis-en-Médoc,
35,047a8cfe460ba4990b0cfd8da4d7b964,Mantinia,,
36,04bb6530ef13248a58ec62e648adcc3a,Central Spain,Vino de la Tierra de Castilla,
37,04fd55e4ac649fe0e126ce49f3e4ab7c,Atalanti Valley,,
38,05162308c04cf1e6178afd2d42fe9df0,Loire Valley,Quarts de Chaume,
39,0524f73aad40d9b0e3056f6e0737fb85,Simonsberg-Stellenbosch,,
40,053f7e37887582227043a25419be86f1,California,Santa Cruz Mountains,Central Coast
41,059298aaa796fedb84794a397723c2b0,California,Kelsey Bench-Lake County,
42,05b6ebafa95f6b6a483f8264dcad8268,Oregon,Applegate Valley,Southern Oregon
43,05ee0e91dffe7dc375d93610382dda13,Tuscany,Sant'Antimo,
44,064b382f48f9424ab399c84eed22eb19,Southern Italy,Copertino,
45,0688f24e0cf808b7214b5a82cb35c322,California,Napa-Monterey-Mendocino,
46,06a01dc37ca282ec414e3646e75ae337,California,Calistoga,Napa
47,071d48f1ed4dfd5bccd2dd0d851372a0,Südburgenland,,
48,0725295a490ab8f03919ad2941ffc8c3,Oregon,Willamette Valley,Willamette Valley
49,07416f55c6cb85f640993e640b3ea99c,Virginia,Virginia's Eastern Shore,
50,075099c9a53f427c40c47b7bc64877c1,Loire Valley,Sancerre,
51,0753ace66434f9a9845cd2fafec221ac,Commandaria,,
52,076be2f4e3d457d533ca1c8558b892c5,Central Italy,Albana di Romagna,
53,07c5397724cc53b47fffa6c1975f1eed,Central Italy,Torgiano Rosso Riserva,
54,07e05a2413930aac0614b9411f736a76,Southern Italy,Sannio,
55,0829c15abb128dee2799d116cbe326ec,Piedmont,Coste della Sesia,
56,088b65f3eb85cd52a94fec4eae522b95,France Other,Savoie,
57,088f003833d523d9dccc529e929afdc7,America,,
58,08b77abe969448da7edf9d2f096baa2f,Languedoc-Roussillon,Terrasses du Larzac,
59,090325251da5f1bfd0c485e19994a51e,New South Wales,Hunter Valley,
60,0905deb99e50be04aa9052a242912b43,Veneto,Veneto,
61,090d29c33234381db2ec2b960409a15e,Tuscany,Montecarlo,
62,09906d3bea7a147348115fddd86c92d0,Loire Valley,Coteaux du Giennois,
63,09b2531fa8ad4a4c5229742adfe63c9e,Beaujolais,Coteaux du Lyonnais,
64,09bc76fb5905f984a79aaf780d91d2ee,Northern Spain,Valdeorras,
65,09c3a75b0235b23fd60d81a7cbbba86e,Victoria,Bendigo,
66,09d6350dce77e4ab496a668e1d493a7d,Northern Spain,Navarra,
67,0a08fa6c8eeb729730913ca7cd680429,Rhône Valley,Vin de Pays de Vaucluse,
68,0a380d458171619b24f095528ac602d3,Ontario,Beamsville Bench,
69,0a8077748dc44cd76496b2f2f8b1b65f,California,Anderson Valley,
70,0a895c64086fba7342e4364a4e4c10b6,Cappadocia,,
71,0a99f809ee9d6c29d6eaa78766021ec5,California,Sonoma County,Sonoma
72,0ade75d5dab0f9aa259247cc963d7bdd,Western Australia,Frankland River,
73,0b03874a694b2f09095a6678308cb93e,Spain Other,Vino de Mesa,
74,0b3e3fcdf0ff568f794f16d2cb5d9282,Piedmont,Dolcetto d'Alba Superiore,
75,0b4f7685c089623fe59eb59aa28ad5b5,Beaujolais,Côte de Brouilly,
76,0bb543aa16a420c5a7f66da071cce155,Atlantida,,
77,0bdf95aafe761292ba3db445cd6556b1,Rhône Valley,Hermitage,
78,0bf1ed79b4b404d8d097a17e32b950f1,Darling,,
79,0c03e96f4877f4c5e029f7008ab4a24f,Valle de Guadalupe,,
80,0c12f5495afe76d9242ed25668979de9,Moldova,,
81,0c3bf2095e0a260c0599bf7da7644871,Languedoc-Roussillon,Côtes de Thau,
82,0c3e532f4db1c3d2f73a7e5998cf0fdc,Languedoc-Roussillon,Côtes du Roussillon Les Aspres,
83,0c7d5ae44b2a0be9ebd7d6b9f7d60f20,Romania,,
84,0c992bcf5c6abbb13ca3476cf1cab194,Alenteo,,
85,0c9c93978aa6bceead798b08d46422ef,Estremadura,,
86,0cd890f6a6442d57ba6c4a576bb0952e,California,El Dorado County,Sierra Foothills
87,0cf4ecbb81a71100ad4aecb974f4205c,Limnos,,
88,0d7907e0815bd20a78d49d84298f8ee9,Burgundy,Mâcon-Mancey,
89,0de4e1950fdf2f669632859f475e2827,Provence,Vin de Pays des Maures,
90,0e302412ae6c2ec5c626d6a65ce0dbfb,Waipara Valley,,
91,0e53cca30c023a5afd91bae07be04b52,Bío Bío Valley,,
92,0ec9b4ed9d8b36b0a75aa83dff284c11,San Clemente,,
93,0ed4d09a0f4a0d7c731616b0eaee7f27,Monemvasia,,
94,0f13f4928a76e4aad20b965165f658dc,Southern Italy,Basilicata,
95,0fbf72dcd7cd63698f1e6fcd636d5dfa,Algarve,,
96,0fbf869bbcab84691024151ed8dde38a,Southwest France,Côtes de Gascogne,
97,103af9db204bc16f89f4bae5e2427a2f,Breede River Valley,,
98,10ca26290eea6d79f6840e5d2d6723d6,France Other,Arbois,
99,1132f1ddfe1949439058bf6741771626,California,Sonoma County-Lake County,North Coast
100,120b1aee7ae1a31db0f411e54644044c,Colorado,Grand Valley,
101,120d40dcb515d0e88a63ee1ffc667a79,Burgundy,Meursault,
102,120fe9fe44ad78bc221a9f3a30a91a86,Oregon,Chehalem Mountains,Willamette Valley
103,12129c79a8b579875b444046947b5f70,Burgundy,Mazis-Chambertin,
104,121b29d0e3247e37bb70d4acb35c1295,Mátra,,
105,1224fd910bc35243c6175f952f9ff1f9,Sicily & Sardinia,Contessa Entellina,
106,124feee62a67a392f64482813eef596d,Bordeaux,Cadillac,
107,127676ab840b85afd2ef6e5ba0ea7604,Burgundy,Coteaux Bourguignons,
108,128a8ec3682e1ebe589531a35ceca742,Sicily & Sardinia,Mamertino,
109,12a619191baf8941184b4700d0d4728f,Bordeaux,Blaye Côtes de Bordeaux,
110,12f7907d3bf65d8852cc9d167d73a375,Serra do Sudeste,,
111,1308b7c2091fd1dcc850a758d4f12c31,Burgundy,Corton Grèves,
112,136ba4c6505665fcf65019a37830d6a8,Other,Argentina,
113,1370a2f8e28ad7682f045c16093393a5,Wairarapa,,
114,13747b2da36216a4a5042226bcc213c1,Bordeaux,Côtes de Bordeaux,
115,1377e1f5c78adce6855f30c80aa20a85,Burgundy,Maranges,
116,13ad3cd5cdd4918e37b6742f346a8eca,Veneto,Gambellara Classico,
117,13c8903dc9e7ced318adb623a8bc7dfe,Veneto,Valpolicella Ripasso Valpantena,
118,141869b3a278539aa6a08ce0f2d07a9d,Rhône Valley,Côtes du Rhône Villages,
119,142ae986f49bd12644322066b5f2f2c1,Catalonia,Costers del Segre,
120,1441560981f36eb19755a7b2e8b138ae,Lontué Valley,,
121,149f51bde5bee360bfb585cdc4c39a42,Tokaji,,
122,151835954e940ff979ff2770d5976138,Central Italy,Montefalco,
123,1550c5eb922a6d2d35c3ca4ca854cd33,Rhône Valley,Condrieu,
124,15607faa26173554b9ea0b068caf8946,Languedoc-Roussillon,Maury,
125,15f8bdb93de7d49a2c43ff69309a4342,Sicily & Sardinia,Terre Siciliane,
126,162ce4b57f27623fbf347203d375a556,Languedoc-Roussillon,Pays d'Oc,
127,16551e9337c69fac02ef95ddc620c8df,Elgin,,
128,1658844ca027b4c2ee4f0b3fdaff3970,Northern Spain,Campo de Borja,
129,16773ed9c43c04126f4da922dc8e5f94,Central Italy,Rosso Conero,
130,168d985de6fe1dc2d7d5d3bf715db7b2,Sicily & Sardinia,Faro,
131,16ac36f9d677e9d247ad1217b0dbdb9d,Central Spain,Mentrida,
132,16fbd4ff14570fef783aed70061030b1,California,Sierra Foothills,Sierra Foothills
133,16feb54bfc213b36ee982ff49e6e7f6c,Central Italy,Emilia-Romagna,
134,1739fe2d6cf7bec9af919a991d73acbc,Župa,,
135,1749c0da07ed061742c503114e1a126f,Burgundy,Mâcon-Cruzille,
136,1783ccc20e60cc0e8f9cba76e953a2b6,California,Big Valley District-Lake County,
137,17c79c4586c50f1dc199cdb8a8835c6f,Central Italy,Rosso Piceno Superiore,
138,1806d82c60eb3e0a5cf06d9f6de99c40,Burgundy,Viré-Clessé,
139,18d1c89774478e7085bd86523a68e112,Southwest France,Côtes du Tarn,
140,191ca656c2e83fdfef0d3dc9a9e2e00d,Andalucia,Vino de la Tierra Altiplano de Sierra Nevada,
141,1929d978f45dd73e061837693c6b0716,California,Calaveras County,Sierra Foothills
142,192c378ff2a409e588e9423b33562e76,Amyndeon,,
143,198ffa648cb2a981da52cea876c4daa3,Pafos,,
144,19a1a50141554d5286a6595303468f87,California,Mt. Harlan,Central Coast
145,1a03fe9cf541482dbb9ee8fbf7a2e48d,Central Spain,Ribera del Guadiana,
146,1a3ae8fdae32a97c91f4964e52dc09a1,Languedoc-Roussillon,Languedoc,
147,1a9623c3fd45de790439c09c4c289793,Malleco,,
148,1aa68ad3b1d557b57febcbf40c914358,Naoussa,,
149,1ae8075557b40db83359cb35bf998f63,Veneto,San Martino della Battaglia,
150,1af943d73ec7f14b665966fd23ca0925,Colares,,
151,1b06fd4ecb7983b50e73051fb21b4bb2,California,Capay Valley,Central Valley
