#,winery_id,winery,country
1,000d7840fde254b4b45a251192d3caf0,José Pariente,Spain
2,0011778f84248de54b3178fb4047ce87,Scott,US
3,0012a67b343bfaf4f7986a063bc001c1,Tenuta San Guido,Italy
4,0014251a5a48748fb4863de82faefdbf,Galardi,Italy
5,00163bef5acb3993c85078555fe47668,Juno,South Africa
6,0016c0007f06111c9d14263957a997e0,Château d'Arche,France
7,00185a9b68831c6c25ed9754b4bcf26f,Muddy Boot,US
8,0018f6bb934f94203ae18e8bd8779e34,Eucaliptus,Italy
9,001c775038b033de67e6dffe7283ffbe,Valentini,Italy
10,001d05dd3bcc91e90350752bcb8113e0,Tolpuddle,Australia
11,001d450452cfd59623f488feb317db4b,Alana Estate,New Zealand
12,001e8da0aff8e4c04e092bc830e65ef9,Château Viranel,France
13,00237b041221a0bcedd379b46c91781b,Earthshaker,US
14,00257621525161825bf2fe60e972ea64,Ribbonwood,New Zealand
15,00290dd87e9aee1e6a29c18ae314a4e7,Convento Oreja,Spain
16,002b2679de5787e85312b64c8f1cd427,Flying Leap,US
17,002bc81c39a58f7ae79caa4fb3077e91,Villa Rinaldi,Italy
18,0032bfaae8a5f21ac9d7d57669907330,Yaffo,Israel
19,00399f81c41c35a83679db4005229192,Estraié,US
20,003d3e75f3b6b321532ec4ca8303b7cd,Aesthete,US
21,003eabbb614688b714973bbf26d8b50d,Ecco Domani,Italy
22,004065f37ff43f253c4fc29f59a93fc6,Château la Gurgue,France
23,004083d6c006472c164e732d7c2388e9,Piggy Bank,Chile
24,0040f48c0dcebf3d7f579e8a9a4f1829,Izadi,Spain
25,004ac1b21567f437ee4261cb72afc2ea,Castra Rubra,Bulgaria
26,004f6e542e67688f6191387b9bcf26fc,Halos de Jupiter,France
27,004fd48217191944c88a883afe310857,Pappas Wine Company,US
28,0050ed398f387ac5b6f665021fd605ca,Adobe Road,US
29,0054eed96e88b43cb180292b7d691d05,Casa Viva,Chile
30,0054fc43775da203ebcbd436a99ba91a,Cheviot Bridge,Australia
31,0055061a824fd535ccadb931654aa403,Michel Redde et Fils,France
32,0055a81deab9e9312462b72f7d5ab6e0,Tamellini,Italy
33,0056817d67f901b974ac643725d20c07,Pretty-Smith,US
34,005d4e3d967c1f11cbef0d0ca9e1ffb5,Vital,US
35,005dd608efb8b9e3a14d1b2bb53439b7,Michel Moritz,France
36,00604603817b88f238431972cfa0eb5c,Bulas,Portugal
37,0064bf0ff5baa71dc15c697b7cc640f3,S&G; Estate,US
38,006622e54dd6ec722409a2f58ae64a70,Marques de Tomares,Spain
39,006f2ec5d158ed0e9e7216f5eb553efa,Domaine Jean Grivot,France
40,0078920fbe1d629e72b764b663bb29f0,Domaine Mersiol,France
41,007b72e0ca78c9c380e7673b599de1fc,AZS,US
42,007b9837e1c6d12e87358c58a98a6212,Sedition,US
43,007cd391a793aba5cb496b8ce48438d4,Cooper Station,US
44,007cf02f735e619a97ef46eddbfab156,Château d'Escurac,France
45,007de8e7b46c9e266060842c35492212,Heiss,Austria
46,007e6b1f5936e5e2ed055dac818ce7d6,Morambro Creek,Australia
47,00823e1d189ed0ee6ebe85401d82c069,Château Lauzade,France
48,0083227041ccdd6c8bad09a2e788b0a2,Château de Roquebrune,France
49,0085cf35f4914b5f8ca134ee33ac12b9,Squawking Magpie,New Zealand
50,008724b6655b923b6ca0620c89b3cae1,Château Laville,France
51,00901a1d1a0e294654cc6f09596ed897,Salomon Estate,Australia
